ticker,date,ret,ret_raw,rs,tier,is_vcp,dist
NFLX,2023-09-20,-8.0,28.14,79,C,False,-19.1
NFLX,2023-10-19,20.89,20.89,82,C,False,-15.9
NFLX,2023-12-19,25.79,25.79,76,B,False,0.0
NFLX,2024-02-21,13.48,13.48,76,B,False,-3.4
NFLX,2024-04-22,15.9,15.9,78,C,False,-12.8
NFLX,2024-05-21,-8.0,7.15,77,A,True,0.0
NFLX,2024-06-21,-8.0,2.17,74,B,False,0.0
NFLX,2024-08-21,24.99,24.99,70,B,False,-0.2
NFLX,2024-09-20,28.67,28.67,73,B,False,-0.8
NFLX,2024-10-21,27.56,27.56,77,B,False,0.0
NFLX,2024-11-19,13.45,13.45,79,B,False,0.0
NFLX,2024-12-19,-8.0,10.56,83,B,False,-3.7
NFLX,2025-01-23,-8.0,11.37,92,A,False,0.0
NFLX,2025-02-24,-8.0,19.92,82,B,False,-6.6
NFLX,2025-03-25,-8.0,27.87,85,B,False,-5.8
NFLX,2025-04-24,7.62,7.62,99,A,False,0.0
NFLX,2025-06-25,-8.0,-5.59,94,A,False,-0.3
NFLX,2025-07-25,-5.67,-5.67,83,C,False,-11.8
NFLX,2025-08-25,-8.0,-14.36,81,B,True,-9.0
NFLX,2025-09-24,-8.0,-22.34,78,C,False,-10.1
MU,2020-12-16,24.0,24.0,71,B,False,-0.5
MU,2021-01-19,-8.0,2.32,89,B,False,0.0
MU,2021-03-19,-8.0,-14.98,96,A,False,-4.5
MU,2021-04-20,-8.0,-13.82,91,B,False,-8.5
MU,2021-05-19,-8.0,-11.65,75,C,False,-16.4
MU,2024-01-22,-8.0,22.4,74,B,False,0.0
MU,2024-03-21,27.15,27.15,84,B,False,0.0
MU,2024-04-22,4.79,4.79,86,C,False,-14.8
MU,2024-06-21,-8.0,-34.8,99,B,False,-9.1
MU,2024-07-23,-8.0,-4.42,77,C,False,-25.5
MU,2025-09-24,70.95,70.95,94,A,False,-4.3
MRVL,2020-10-16,-8.0,25.42,92,A,False,-3.9
MRVL,2020-11-16,16.68,16.68,76,B,False,-4.0
MRVL,2020-12-16,-8.0,3.86,80,B,False,-2.9
MRVL,2021-01-19,-8.0,-14.71,91,A,False,0.0
MRVL,2021-02-18,-8.0,-11.7,94,B,False,-7.3
MRVL,2021-03-19,-8.0,15.61,88,C,False,-13.7
MRVL,2021-08-18,27.75,27.75,73,B,False,-6.5
MRVL,2021-10-18,15.71,15.71,75,B,False,0.0
MRVL,2021-11-16,-8.0,-2.26,83,B,False,0.0
MRVL,2021-12-16,-8.0,-14.61,87,B,False,-8.7
MRVL,2022-01-18,-8.0,-17.82,72,C,False,-15.1
MRVL,2022-02-16,-8.0,-23.63,73,C,False,-21.2
MRVL,2022-03-18,-8.0,-35.4,76,C,False,-22.0
MRVL,2023-10-19,-8.0,38.46,78,C,False,-23.0
MRVL,2024-01-22,-8.0,-10.24,87,B,False,-1.4
MRVL,2024-04-22,8.85,8.85,81,C,False,-26.0
MRVL,2024-05-21,-8.0,-2.59,70,C,False,-13.8
MRVL,2024-12-19,-8.0,-34.28,91,C,False,-12.6
MRVL,2025-01-23,-8.0,-54.47,97,A,False,0.0
MRVL,2025-02-24,-8.0,-37.94,72,C,False,-22.3
KLAC,2020-12-16,12.72,12.72,74,A,True,-2.4
KLAC,2021-01-19,-8.0,1.82,94,A,False,0.0
KLAC,2021-02-18,-8.0,-6.24,92,A,False,-3.3
KLAC,2021-03-19,4.28,4.28,91,C,False,-12.9
KLAC,2021-04-20,-8.0,-4.78,87,C,False,-10.2
KLAC,2021-05-19,4.81,4.81,71,C,False,-14.1
KLAC,2021-09-17,-8.0,7.71,85,B,False,-0.6
KLAC,2023-01-19,-8.0,-6.26,74,B,False,-8.5
KLAC,2023-04-20,22.46,22.46,77,C,False,-14.2
KLAC,2023-10-19,34.35,34.35,86,B,False,-9.4
KLAC,2023-11-17,19.99,19.99,72,B,False,-0.2
KLAC,2024-01-22,1.92,1.92,74,B,False,0.0
KLAC,2024-02-21,17.61,17.61,76,B,False,-1.4
KLAC,2024-03-21,-8.0,14.74,84,B,False,-1.4
KLAC,2024-04-22,27.72,27.72,78,C,False,-12.4
KLAC,2024-05-21,-8.0,8.3,79,B,False,-1.0
KLAC,2024-06-21,-8.0,-6.9,81,B,False,-5.4
KLAC,2024-07-23,-8.0,-16.44,79,B,False,-9.5
KLAC,2024-08-21,-8.0,-25.36,72,B,False,-7.1
KLAC,2025-09-24,-8.0,18.92,73,B,False,-0.2
LRCX,2020-11-16,31.86,31.86,77,B,False,0.0
LRCX,2020-12-16,10.2,10.2,91,A,False,-3.6
LRCX,2021-01-19,-8.0,5.95,99,A,False,0.0
LRCX,2021-02-18,-8.0,4.48,92,A,False,-2.4
LRCX,2021-03-19,13.2,13.2,99,B,False,-9.2
LRCX,2021-04-20,-8.0,-0.77,99,B,False,-8.2
LRCX,2021-05-19,-5.24,-5.24,92,B,False,-9.9
LRCX,2021-09-17,-8.0,10.74,82,B,False,-8.7
LRCX,2023-04-20,18.77,18.77,81,C,False,-26.6
LRCX,2023-07-21,-3.18,-3.18,73,B,False,-5.5
LRCX,2023-09-20,26.55,26.55,72,C,False,-13.9
LRCX,2023-10-19,38.85,38.85,87,C,False,-16.3
LRCX,2023-11-17,29.14,29.14,72,B,False,-2.6
LRCX,2023-12-19,26.08,26.08,79,B,False,0.0
LRCX,2024-01-22,4.37,4.37,85,B,False,0.0
LRCX,2024-02-21,7.11,7.11,83,B,False,-2.6
LRCX,2024-03-21,-8.0,7.1,87,B,False,-1.0
LRCX,2024-04-22,10.76,10.76,79,C,False,-12.5
LRCX,2024-05-21,-8.0,-9.24,72,A,True,-2.9
LRCX,2024-06-21,-8.0,-26.16,77,B,False,-3.6
LRCX,2025-09-24,36.73,36.73,88,B,False,-2.7
AMAT,2020-12-16,29.96,29.96,80,A,True,-1.3
AMAT,2021-01-19,-8.0,17.96,99,A,False,0.0
AMAT,2021-02-18,10.23,10.23,94,A,False,-4.2
AMAT,2021-03-19,14.45,14.45,99,B,False,-6.5
AMAT,2021-04-20,-8.0,2.81,99,C,False,-10.1
AMAT,2021-05-19,2.24,2.24,99,C,False,-12.8
AMAT,2021-07-20,1.18,1.18,89,B,False,-7.6
AMAT,2021-08-18,24.16,24.16,79,C,False,-10.8
AMAT,2021-09-17,-8.0,4.36,99,A,False,-2.3
AMAT,2021-10-18,14.5,14.5,89,B,False,-7.5
AMAT,2021-11-16,-8.0,-10.56,90,A,False,0.0
AMAT,2023-04-20,19.55,19.55,70,C,False,-30.7
AMAT,2023-06-21,0.44,0.44,70,C,False,-17.0
AMAT,2023-08-21,-8.0,0.1,74,B,False,-2.5
AMAT,2023-09-20,18.77,18.77,70,C,False,-11.1
AMAT,2023-10-19,25.46,25.46,84,C,False,-12.7
AMAT,2024-01-22,12.76,12.76,70,B,False,0.0
AMAT,2024-02-21,15.48,15.48,74,B,False,-4.5
AMAT,2024-03-21,-8.0,11.88,79,B,False,-0.9
AMAT,2024-04-22,16.15,16.15,76,C,False,-11.0
AMAT,2024-05-21,-8.0,-4.69,79,B,False,-0.1
AMAT,2024-06-21,-8.0,-18.22,79,B,False,-5.0
AMAT,2024-07-23,-8.0,-15.86,72,C,False,-13.9
ASML,2020-12-16,16.09,16.09,74,A,True,0.0
ASML,2021-01-19,-8.0,12.27,90,A,False,0.0
ASML,2021-02-18,-8.0,8.61,91,A,False,-3.4
ASML,2021-03-19,22.94,22.94,94,B,False,-9.2
ASML,2021-04-20,11.2,11.2,88,B,False,-4.5
ASML,2021-05-19,22.46,22.46,85,B,False,-6.0
ASML,2021-07-20,15.23,15.23,73,B,False,-4.5
ASML,2021-08-18,11.69,11.69,87,B,False,-2.9
ASML,2021-09-17,-8.0,-11.97,99,A,False,-3.3
ASML,2021-10-18,-9.03,-9.03,87,C,False,-11.4
ASML,2023-04-20,9.76,9.76,79,C,False,-26.9
ASML,2024-03-21,-8.0,4.84,76,B,False,-5.4
ASML,2024-06-21,-8.0,-23.14,71,B,False,-3.0
MPWR,2020-10-16,24.32,24.32,96,A,False,-1.8
MPWR,2020-11-16,23.01,23.01,81,C,False,-14.3
MPWR,2020-12-16,-8.0,3.51,87,B,False,-7.0
MPWR,2021-02-18,-8.0,-14.77,91,B,False,-6.8
MPWR,2021-09-17,-4.31,-4.31,88,B,False,-1.1
MPWR,2023-11-17,32.41,32.41,72,B,False,-8.1
MPWR,2023-12-19,-8.0,6.46,82,B,False,-0.3
MPWR,2024-01-22,-5.64,-5.64,80,B,False,0.0
MPWR,2024-02-21,-8.0,6.2,70,B,False,-5.1
MPWR,2024-05-21,25.36,25.36,78,B,False,-1.2
MPWR,2024-06-21,-8.0,8.05,75,B,False,-3.1
MPWR,2024-07-23,-8.0,4.49,80,B,False,-4.8
MPWR,2024-08-21,-8.0,-38.06,82,B,False,0.0
MPWR,2024-09-20,-8.0,-33.81,86,B,False,-5.9
MPWR,2024-10-21,-8.0,-20.72,90,B,False,-6.6
MCHP,2020-12-16,8.37,8.37,75,B,False,-4.3
MCHP,2021-01-19,-8.0,-2.05,78,B,False,-0.0
MCHP,2021-02-18,-8.0,-5.87,73,B,False,-4.0
MCHP,2021-03-19,-2.69,-2.69,93,B,False,-7.7
NXPI,2021-01-19,-8.0,11.11,74,B,False,-2.8
NXPI,2021-02-18,-8.0,5.19,74,B,False,-4.9
NXPI,2021-03-19,-8.0,-4.16,97,A,False,-3.0
ONTO,2020-12-16,27.29,27.29,72,B,False,-0.7
ONTO,2021-01-19,16.94,16.94,88,B,False,0.0
ONTO,2021-02-18,-8.0,-2.75,91,A,False,-2.9
ONTO,2021-03-19,13.87,13.87,99,B,False,-9.4
ONTO,2021-05-19,9.61,9.61,80,C,False,-14.7
ONTO,2021-06-18,12.4,12.4,92,B,False,-8.5
ONTO,2021-08-18,35.95,35.95,77,C,False,-14.3
ONTO,2021-09-17,-8.0,18.02,99,A,True,-3.1
ONTO,2021-11-16,1.11,1.11,96,A,False,-1.9
ONTO,2021-12-16,-8.0,-0.69,83,B,False,-7.6
ONTO,2022-01-18,-8.0,-23.47,80,C,False,-11.3
ONTO,2022-02-16,-8.0,-20.63,77,C,False,-13.1
ONTO,2023-05-19,13.64,13.64,71,B,False,-5.2
ONTO,2023-06-21,15.96,15.96,77,B,False,-5.6
ONTO,2023-07-21,14.37,14.37,70,B,False,-9.0
ONTO,2023-08-21,18.26,18.26,78,B,False,-8.2
ONTO,2023-09-20,-8.0,21.32,88,C,False,-11.6
ONTO,2023-10-19,-8.0,38.42,98,C,False,-15.3
ONTO,2023-11-17,24.44,24.44,82,B,False,-5.6
ONTO,2024-01-22,1.8,1.8,99,A,False,0.0
ONTO,2024-02-21,37.29,37.29,94,B,False,-7.8
ONTO,2024-03-21,18.24,18.24,88,B,False,-6.9
ONTO,2024-04-22,24.09,24.09,94,C,False,-13.1
ONTO,2024-05-21,-8.0,-6.43,99,A,False,-1.3
ONTO,2024-06-21,-8.0,-7.62,89,B,False,-7.4
ONTO,2024-07-23,-8.0,-1.35,86,C,False,-11.0
ACLS,2021-01-19,-8.0,4.95,88,B,False,0.0
ACLS,2021-02-18,-8.0,1.2,72,A,True,-5.0
ACLS,2021-03-19,0.05,0.05,99,C,False,-10.2
ACLS,2021-04-20,-8.0,-13.25,92,C,False,-17.0
ACLS,2021-09-17,26.72,26.72,89,B,False,-5.4
ACLS,2021-10-18,32.74,32.74,96,A,False,-3.9
ACLS,2021-11-16,-8.0,11.41,99,A,False,0.0
ACLS,2021-12-16,30.01,30.01,99,C,False,-10.1
ACLS,2022-01-18,-8.0,-11.7,95,C,False,-14.2
ACLS,2022-02-16,-8.0,-20.23,99,B,False,-6.9
ACLS,2022-03-18,-8.0,-35.42,99,A,False,0.0
ACLS,2022-07-20,-8.0,-21.55,99,C,False,-21.6
ACLS,2022-08-18,-8.0,-1.06,98,B,False,-8.9
ACLS,2022-11-16,63.91,63.91,80,B,False,-9.9
ACLS,2022-12-16,63.88,63.88,99,B,False,-5.9
ACLS,2023-01-19,27.66,27.66,99,A,False,-3.8
ACLS,2023-02-17,16.12,16.12,99,B,False,-5.4
ACLS,2023-03-21,-8.0,24.29,99,A,True,0.0
ACLS,2023-05-19,21.07,21.07,99,A,False,-2.0
ACLS,2023-06-21,-1.71,-1.71,99,B,False,-8.3
ACLS,2023-07-21,-8.0,-16.86,99,B,False,-8.7
ACLS,2023-09-20,-8.0,-16.47,99,C,False,-18.7
FORM,2020-11-16,17.25,17.25,85,B,False,0.0
FORM,2020-12-16,1.11,1.11,99,A,False,-4.4
FORM,2021-01-19,-8.0,-6.68,99,A,False,0.0
FORM,2021-02-18,-8.0,-28.25,92,B,False,-6.8
FORM,2021-03-19,-8.0,-23.05,99,C,False,-14.2
FORM,2023-11-17,4.25,4.25,85,B,False,-5.3
FORM,2023-12-19,8.94,8.94,75,B,False,-1.2
FORM,2024-05-21,-8.0,-12.83,88,B,False,0.0
FORM,2024-06-21,-8.0,-24.18,84,B,False,-3.4
FORM,2024-07-23,-8.0,-26.77,84,B,False,-3.2
CRWD,2020-11-16,81.83,81.83,99,C,False,-13.9
CRWD,2020-12-16,8.25,8.25,99,A,False,-0.1
CRWD,2021-01-19,-8.0,-6.9,99,A,False,-5.0
CRWD,2021-02-18,-8.0,-16.94,99,A,False,-1.3
CRWD,2021-03-19,-8.0,25.83,99,C,False,-19.7
CRWD,2021-04-20,-8.0,22.09,99,C,True,-14.8
CRWD,2021-05-19,17.65,17.65,99,C,False,-18.0
CRWD,2021-06-18,7.42,7.42,97,A,False,0.0
CRWD,2021-08-18,12.29,12.29,92,C,False,-13.1
CRWD,2021-09-17,-8.0,-23.87,86,B,False,-8.1
CRWD,2021-10-18,-8.0,-39.43,89,B,False,-0.4
CRWD,2021-11-16,-8.0,-30.18,94,C,False,-10.5
CRWD,2023-11-17,41.18,41.18,79,B,False,-0.4
CRWD,2023-12-19,27.53,27.53,99,A,False,-0.7
CRWD,2024-01-22,-3.18,-3.18,99,A,False,0.0
CRWD,2024-02-21,19.48,19.48,99,C,False,-12.6
CRWD,2024-05-21,-8.0,-21.79,99,A,False,0.0
CRWD,2024-06-21,-8.0,-21.22,99,A,False,-2.5
CRWD,2024-11-19,10.88,10.88,72,B,False,-9.9
CRWD,2025-02-24,-8.0,16.31,70,C,False,-14.0
CRWD,2025-06-25,-8.0,-3.59,72,B,False,0.0
CRWD,2025-07-25,-8.0,11.55,80,B,False,-9.0
CRWD,2025-09-24,0.53,0.53,73,B,False,-7.3
SNOW,2023-12-04,-8.0,-11.31,70,B,False,-4.9
SNOW,2024-01-04,-8.0,-16.25,73,B,False,-8.7
SNOW,2024-02-05,-8.0,-24.08,72,B,False,-1.4
SNOW,2025-06-09,-8.0,6.98,80,C,False,-10.7
SNOW,2025-09-09,-0.11,-0.11,99,B,False,-6.4
DDOG,2020-10-16,-8.0,-11.81,99,A,False,-3.9
DDOG,2020-11-16,23.21,23.21,99,C,False,-26.1
DDOG,2020-12-16,-8.0,-19.63,99,C,False,-10.5
DDOG,2021-02-18,-8.0,-21.36,98,B,False,-9.7
DDOG,2021-08-18,45.66,45.66,78,B,False,-2.1
DDOG,2021-09-17,14.62,14.62,83,B,False,-0.7
DDOG,2021-10-18,-8.0,-16.23,81,B,False,0.0
DDOG,2021-11-16,-8.0,-10.01,99,A,False,-1.7
DDOG,2021-12-16,-8.0,-11.15,80,C,False,-16.5
DDOG,2022-02-16,-8.0,-49.36,94,C,False,-11.5
DDOG,2023-12-19,-8.0,0.37,75,B,False,-0.7
DDOG,2024-01-22,-8.0,-8.2,98,A,False,0.0
DDOG,2024-02-21,-8.0,-2.79,70,B,False,-7.6
DDOG,2024-04-22,-8.0,0.93,95,C,False,-10.3
MDB,2020-11-16,65.68,65.68,79,B,False,-10.0
MDB,2020-12-16,-8.0,-10.18,99,A,False,-0.9
MDB,2021-01-19,-8.0,-19.12,99,B,False,-7.1
MDB,2021-03-19,-8.0,26.87,99,C,False,-28.4
MDB,2021-06-18,-8.0,32.02,78,B,False,-9.2
MDB,2021-08-18,59.61,59.61,79,C,False,-13.3
MDB,2021-09-17,-8.0,-5.12,99,A,False,-0.5
MDB,2023-06-21,-5.71,-5.71,92,C,False,-18.7
MDB,2023-07-21,-8.0,-12.64,99,C,False,-10.6
