ticker,scan_date,entry_date,exit_date,hold_days,entry,exit,return_pct,spy_ret,alpha,rs,score,year
AMD,2021-09-01,2021-09-02,2021-12-03,63,109.2,144.01,31.88,0.4,31.48,99,7,2021
TSLA,2021-09-01,2021-09-02,2021-09-15,7,244.13,251.94,3.2,-1.15,4.35,71,7,2021
TSLA,2021-09-01,2021-09-02,2021-10-05,21,244.13,260.2,6.58,-4.1,10.68,71,7,2021
TSLA,2021-09-01,2021-09-02,2021-12-03,63,244.13,338.32,38.58,0.4,38.19,71,7,2021
MRVL,2021-09-01,2021-09-02,2021-09-15,7,60.21,61.33,1.86,-1.15,3.01,99,8,2021
MRVL,2021-09-01,2021-09-02,2021-10-05,21,60.21,58.31,-3.15,-4.1,0.96,99,8,2021
MRVL,2021-09-01,2021-09-02,2021-12-03,63,60.21,82.15,36.45,0.4,36.05,99,8,2021
ASML,2021-09-01,2021-09-02,2021-09-15,7,822.79,849.59,3.26,-1.15,4.4,99,8,2021
ASML,2021-09-01,2021-09-02,2021-10-05,21,822.79,700.12,-14.91,-4.1,-10.81,99,8,2021
ASML,2021-09-01,2021-09-02,2021-12-03,63,822.79,738.95,-10.19,0.4,-10.59,99,8,2021
MPWR,2021-09-01,2021-09-02,2021-09-15,7,480.96,479.0,-0.41,-1.15,0.74,99,8,2021
MPWR,2021-09-01,2021-09-02,2021-10-05,21,480.96,453.98,-5.61,-4.1,-1.51,99,8,2021
MPWR,2021-09-01,2021-09-02,2021-12-03,63,480.96,526.61,9.49,0.4,9.1,99,8,2021
ACLS,2021-09-01,2021-09-02,2021-09-15,7,49.84,49.2,-1.28,-1.15,-0.14,77,8,2021
ACLS,2021-09-01,2021-09-02,2021-10-05,21,49.84,45.95,-7.8,-4.1,-3.7,77,8,2021
ACLS,2021-09-01,2021-09-02,2021-12-03,63,49.84,61.96,24.32,0.4,23.92,77,8,2021
CRWD,2021-09-01,2021-09-02,2021-09-15,7,272.67,259.57,-4.8,-1.15,-3.66,85,8,2021
CRWD,2021-09-01,2021-09-02,2021-10-05,21,272.67,244.92,-10.18,-4.1,-6.07,85,8,2021
CRWD,2021-09-01,2021-09-02,2021-12-03,63,272.67,197.05,-27.73,0.4,-28.13,85,8,2021
DDOG,2021-09-01,2021-09-02,2021-09-15,7,137.09,139.11,1.47,-1.15,2.62,99,8,2021
DDOG,2021-09-01,2021-09-02,2021-10-05,21,137.09,141.89,3.5,-4.1,7.6,99,8,2021
DDOG,2021-09-01,2021-09-02,2021-12-03,63,137.09,164.22,19.79,0.4,19.39,99,8,2021
MDB,2021-09-01,2021-09-02,2021-09-15,7,401.65,503.5,25.36,-1.15,26.51,93,8,2021
MDB,2021-09-01,2021-09-02,2021-10-05,21,401.65,452.68,12.71,-4.1,16.81,93,8,2021
MDB,2021-09-01,2021-09-02,2021-12-03,63,401.65,450.16,12.08,0.4,11.68,93,8,2021
HUBS,2021-09-01,2021-09-02,2021-09-15,7,684.4,679.35,-0.74,-1.15,0.41,99,8,2021
HUBS,2021-09-01,2021-09-02,2021-10-05,21,684.4,648.85,-5.19,-4.1,-1.09,99,8,2021
HUBS,2021-09-01,2021-09-02,2021-12-03,63,684.4,745.03,8.86,0.4,8.46,99,8,2021
TTD,2021-09-01,2021-09-02,2021-09-15,7,78.02,70.82,-9.23,-1.15,-8.08,90,7,2021
TTD,2021-09-01,2021-09-02,2021-10-05,21,78.02,67.6,-13.36,-4.1,-9.25,90,7,2021
TTD,2021-09-01,2021-09-02,2021-12-03,63,78.02,89.51,14.73,0.4,14.33,90,7,2021
PANW,2021-09-01,2021-09-02,2021-09-15,7,77.09,79.99,3.76,-1.15,4.91,90,8,2021
PANW,2021-09-01,2021-09-02,2021-10-05,21,77.09,79.26,2.82,-4.1,6.92,90,8,2021
PANW,2021-09-01,2021-09-02,2021-12-03,63,77.09,86.81,12.61,0.4,12.21,90,8,2021
FTNT,2021-09-01,2021-09-02,2021-09-15,7,62.78,60.31,-3.94,-1.15,-2.79,99,8,2021
FTNT,2021-09-01,2021-09-02,2021-10-05,21,62.78,59.7,-4.9,-4.1,-0.8,99,8,2021
FTNT,2021-09-01,2021-09-02,2021-12-03,63,62.78,60.56,-3.53,0.4,-3.93,99,8,2021
ZS,2021-09-01,2021-09-02,2021-09-15,7,282.2,273.44,-3.1,-1.15,-1.96,99,8,2021
ZS,2021-09-01,2021-09-02,2021-10-05,21,282.2,258.5,-8.4,-4.1,-4.29,99,8,2021
ZS,2021-09-01,2021-09-02,2021-12-03,63,282.2,313.35,11.04,0.4,10.64,99,8,2021
NET,2021-09-01,2021-09-02,2021-09-15,7,128.61,128.55,-0.05,-1.15,1.1,99,8,2021
NET,2021-09-01,2021-09-02,2021-10-05,21,128.61,125.59,-2.35,-4.1,1.76,99,8,2021
NET,2021-09-01,2021-09-02,2021-12-03,63,128.61,159.69,24.17,0.4,23.77,99,8,2021
NOW,2021-09-01,2021-09-02,2021-09-15,7,132.06,130.43,-1.24,-1.15,-0.09,99,8,2021
NOW,2021-09-01,2021-09-02,2021-10-05,21,132.06,126.68,-4.07,-4.1,0.03,99,8,2021
NOW,2021-09-01,2021-09-02,2021-12-03,63,132.06,122.62,-7.15,0.4,-7.54,99,8,2021
ADBE,2021-09-01,2021-09-02,2021-09-15,7,664.64,661.08,-0.54,-1.15,0.61,99,8,2021
ADBE,2021-09-01,2021-09-02,2021-10-05,21,664.64,566.7,-14.74,-4.1,-10.63,99,8,2021
ADBE,2021-09-01,2021-09-02,2021-12-03,63,664.64,616.53,-7.24,0.4,-7.63,99,8,2021
COST,2021-09-01,2021-09-02,2021-09-15,7,437.54,437.32,-0.05,-1.15,1.1,81,8,2021
COST,2021-09-01,2021-09-02,2021-10-05,21,437.54,423.56,-3.2,-4.1,0.91,81,8,2021
COST,2021-09-01,2021-09-02,2021-12-03,63,437.54,502.86,14.93,0.4,14.53,81,8,2021
MELI,2021-09-01,2021-09-02,2021-09-15,7,1931.33,1889.26,-2.18,-1.15,-1.03,99,7,2021
MELI,2021-09-01,2021-09-02,2021-10-05,21,1931.33,1585.44,-17.91,-4.1,-13.81,99,7,2021
MELI,2021-09-01,2021-09-02,2021-12-03,63,1931.33,1052.95,-45.48,0.4,-45.88,99,7,2021
SHOP,2021-09-01,2021-09-02,2021-09-15,7,154.26,147.49,-4.39,-1.15,-3.24,84,8,2021
SHOP,2021-09-01,2021-09-02,2021-10-05,21,154.26,131.81,-14.55,-4.1,-10.45,84,8,2021
SHOP,2021-09-01,2021-09-02,2021-12-03,63,154.26,141.0,-8.6,0.4,-8.99,84,8,2021
CELH,2021-09-01,2021-09-02,2021-09-15,7,28.59,30.3,5.99,-1.15,7.14,87,8,2021
CELH,2021-09-01,2021-09-02,2021-10-05,21,28.59,31.64,10.68,-4.1,14.78,87,8,2021
CELH,2021-09-01,2021-09-02,2021-12-03,63,28.59,21.02,-26.48,0.4,-26.88,87,8,2021
WING,2021-09-01,2021-09-02,2021-09-15,7,166.72,170.71,2.39,-1.15,3.54,92,8,2021
WING,2021-09-01,2021-09-02,2021-10-05,21,166.72,156.92,-5.88,-4.1,-1.77,92,8,2021
WING,2021-09-01,2021-09-02,2021-12-03,63,166.72,146.98,-11.84,0.4,-12.23,92,8,2021
LLY,2021-09-01,2021-09-02,2021-09-15,7,248.41,223.68,-9.95,-1.15,-8.81,79,8,2021
LLY,2021-09-01,2021-09-02,2021-10-05,21,248.41,221.0,-11.03,-4.1,-6.93,79,8,2021
LLY,2021-09-01,2021-09-02,2021-12-03,63,248.41,235.78,-5.08,0.4,-5.48,79,8,2021
REGN,2021-09-01,2021-09-02,2021-09-15,7,670.21,646.66,-3.51,-1.15,-2.37,99,8,2021
REGN,2021-09-01,2021-09-02,2021-10-05,21,670.21,546.39,-18.48,-4.1,-14.37,99,8,2021
REGN,2021-09-01,2021-09-02,2021-12-03,63,670.21,629.96,-6.01,0.4,-6.4,99,8,2021
ISRG,2021-09-01,2021-09-02,2021-09-15,7,357.18,348.51,-2.43,-1.15,-1.28,99,8,2021
ISRG,2021-09-01,2021-09-02,2021-10-05,21,357.18,330.07,-7.59,-4.1,-3.49,99,8,2021
ISRG,2021-09-01,2021-09-02,2021-12-03,63,357.18,321.63,-9.95,0.4,-10.35,99,8,2021
TMO,2021-09-01,2021-09-02,2021-09-15,7,558.18,555.96,-0.4,-1.15,0.75,76,8,2021
TMO,2021-09-01,2021-09-02,2021-10-05,21,558.18,564.77,1.18,-4.1,5.28,76,8,2021
TMO,2021-09-01,2021-09-02,2021-12-03,63,558.18,628.2,12.54,0.4,12.15,76,8,2021
DHR,2021-09-01,2021-09-02,2021-09-15,7,287.33,281.98,-1.86,-1.15,-0.71,99,8,2021
DHR,2021-09-01,2021-09-02,2021-10-05,21,287.33,259.85,-9.57,-4.1,-5.46,99,8,2021
DHR,2021-09-01,2021-09-02,2021-12-03,63,287.33,271.49,-5.51,0.4,-5.91,99,8,2021
VRT,2021-09-01,2021-09-02,2021-09-15,7,28.46,23.44,-17.63,-1.15,-16.48,72,8,2021
VRT,2021-09-01,2021-09-02,2021-10-05,21,28.46,23.02,-19.1,-4.1,-14.99,72,8,2021
VRT,2021-09-01,2021-09-02,2021-12-03,63,28.46,25.4,-10.74,0.4,-11.13,72,8,2021
NVDA,2021-09-22,2021-09-23,2021-10-05,7,22.41,20.38,-9.03,-2.44,-6.6,99,8,2021
NVDA,2021-09-22,2021-09-23,2021-10-25,21,22.41,23.09,3.04,2.62,0.42,99,8,2021
NVDA,2021-09-22,2021-09-23,2021-12-23,63,22.41,29.55,31.85,6.38,25.47,99,8,2021
MSFT,2021-09-22,2021-09-23,2021-10-05,7,288.04,277.65,-3.61,-2.44,-1.17,71,8,2021
MSFT,2021-09-22,2021-09-23,2021-10-25,21,288.04,296.28,2.86,2.62,0.24,71,8,2021
MSFT,2021-09-22,2021-09-23,2021-12-23,63,288.04,322.4,11.93,6.38,5.55,71,8,2021
GOOGL,2021-09-22,2021-09-23,2021-10-05,7,139.97,134.83,-3.68,-2.44,-1.24,82,8,2021
GOOGL,2021-09-22,2021-09-23,2021-10-25,21,139.97,136.24,-2.67,2.62,-5.29,82,8,2021
GOOGL,2021-09-22,2021-09-23,2021-12-23,63,139.97,145.63,4.04,6.38,-2.35,82,8,2021
AMD,2021-09-22,2021-09-23,2021-10-05,7,106.15,101.81,-4.09,-2.44,-1.65,92,7,2021
AMD,2021-09-22,2021-09-23,2021-10-25,21,106.15,122.36,15.27,2.62,12.65,92,7,2021
AMD,2021-09-22,2021-09-23,2021-12-23,63,106.15,146.14,37.67,6.38,31.29,92,7,2021
MRVL,2021-09-22,2021-09-23,2021-10-05,7,62.29,58.31,-6.38,-2.44,-3.95,83,8,2021
MRVL,2021-09-22,2021-09-23,2021-10-25,21,62.29,66.5,6.77,2.62,4.15,83,8,2021
MRVL,2021-09-22,2021-09-23,2021-12-23,63,62.29,86.17,38.34,6.38,31.95,83,8,2021
KLAC,2021-09-22,2021-09-23,2021-10-05,7,35.38,31.59,-10.71,-2.44,-8.28,74,8,2021
KLAC,2021-09-22,2021-09-23,2021-10-25,21,35.38,32.73,-7.48,2.62,-10.1,74,8,2021
